http://www.ussensor.com/rt%20charts/PT103J2.htm
  T degF     T degC      Resitance Ohm
  56.0  	  132.8  	  2878.00    
  57.0  	  134.6  	  2774.00    
  58.0  	  136.4  	  2675.00    
  59.0  	  138.2  	  2579.00    
  60.0  	  140.0  	  2488.00    
  61.0  	  141.8  	  2400.00    
  62.0  	  143.6  	  2316.00    
  63.0  	  145.4  	  2235.00    
  64.0  	  147.2  	  2157.00    
  65.0  	  149.0  	  2083.00    
  66.0  	  150.8  	  2011.00    
  67.0  	  152.6  	  1942.00    
  68.0  	  154.4  	  1876.00    
  69.0  	  156.2  	  1813.00    
  70.0  	  158.0  	  1752.00    
  71.0  	  159.8  	  1693.00    
  72.0  	  161.6  	  1637.00    
  73.0  	  163.4  	  1582.00    
  74.0  	  165.2  	  1530.00    
  75.0  	  167.0  	  1480.00    
  76.0  	  168.8  	  1432.00    
  77.0  	  170.6  	  1385.00    
  78.0  	  172.4  	  1340.00    
  79.0  	  174.2  	  1297.00    
  80.0  	  176.0  	  1255.00    
  81.0  	  177.8  	  1215.00    
  82.0  	  179.6  	  1177.00    
  83.0  	  181.4  	  1140.00    
  84.0  	  183.2  	  1104.00    
  85.0  	  185.0  	  1070.00    
  86.0  	  186.8  	  1037.00    
  87.0  	  188.6  	  1005.00    
  88.0  	  190.4  	  973.80    
  89.0  	  192.2  	  944.10    
  90.0  	  194.0  	  915.50    
  91.0  	  195.8  	  887.80    
  92.0  	  197.6  	  861.20    
  93.0  	  199.4  	  835.40    
  94.0  	  201.2  	  810.60    
  95.0  	  203.0  	  786.60    
  96.0  	  204.8  	  763.50    
  97.0  	  206.6  	  741.20    
  98.0  	  208.4  	  719.60    
  99.0  	  210.2  	  698.70    
  100.0  	  212.0  	  678.60    
  101.0  	  213.8  	  659.10    
  102.0  	  215.6  	  640.30    
  103.0  	  217.4  	  622.20    
  104.0  	  219.2  	  604.60    
  105.0  	  221.0  	  587.60    
  106.0  	  222.8  	  571.20    
  107.0  	  224.6  	  555.30    
  108.0  	  226.4  	  539.90    
  109.0  	  228.2  	  525.00    
  110.0  	  230.0  	  510.60    
  111.0  	  231.8  	  496.70    
  112.0  	  233.6  	  483.20    
  113.0  	  235.4  	  470.10    
  114.0  	  237.2  	  457.50    
  115.0  	  239.0  	  445.30    
  116.0  	  240.8  	  433.40    
  117.0  	  242.6  	  421.90    
  118.0  	  244.4  	  410.80    
  119.0  	  246.2  	  400.00    
  120.0  	  248.0  	  389.60    
  121.0  	  249.8  	  379.40    
  122.0  	  251.6  	  369.60    
  123.0  	  253.4  	  360.10    
  124.0  	  255.2  	  350.90    
  125.0  	  257.0  	  341.90    
  126.0  	  258.8  	  333.20    
  127.0  	  260.6  	  324.80    
  128.0  	  262.4  	  316.60    
  129.0  	  264.2  	  308.70    
  130.0  	  266.0  	  301.00    
  131.0  	  267.8  	  293.50    
  132.0  	  269.6  	  286.30    
  133.0  	  271.4  	  279.20    
  134.0  	  273.2  	  272.40    
